"","CRUISE_ID","YEAR","SURVEY_NAME","REGION","VESSEL_ID","CRUISE","VESSEL_NAME","SPONSOR_ACRONYM","START_DATE","END_DATE","CRUISEJOIN","CRUISE_DATA_COLLECTED","CRUISE_DATA_IN_EDIT","CRUISE_DATA_IN_RACEBASE","CRUISE_DATA_IN_FINAL","VESSEL_COUNTRY","SURVEY_DEFINITION_ID","SURVEY_ID"
"1",454,1991,"WDFW Puget Sound Survey","WC",80,199101,"NANCY ROSE","RACE",1991-05-06,1991-05-31,464,"Y","N","Y","N","UNITED STATES OF AMERICA",8,387
"2",455,1991,"US-Soviet Cooperative Groundfish Trawl Survey","BS",793,199103,"NOVODRUTSK ","RACE",1991-05-11,1991-06-25,51,"Y","N","Y","N","SOVIET UNION",50,389
"3",459,1991,"Aleutian Islands Bottom Trawl Survey","AI",85,199101,"OCEAN HOPE I","RACE",1991-07-19,1991-09-19,322,"Y","N","Y","N","UNITED STATES OF AMERICA",52,390
"4",460,1991,"Aleutian Islands Bottom Trawl Survey","AI",83,199101,"GREEN HOPE","RACE",1991-07-20,1991-09-20,321,"Y","N","Y","N","UNITED STATES OF AMERICA",52,390
"5",461,1991,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey - Triennial Extension","BS",21,199110,"MILLER FREEMAN","RACE",1991-08-31,1991-09-25,135,"Y","N","Y","N","UNITED STATES OF AMERICA",112,397
"6",462,1991,"Sablefish Pot Index Survey","WC",37,199103,"ALASKA","RACE",1991-09-07,1991-10-06,431,"Y","N","Y","N","UNITED STATES OF AMERICA",25,388
"7",466,1992,"Tag Release/Recovery Survey","TAG",518,199201,"ANYO MARU NO. 22","RACE",1992-05-05,1992-09-05,323,"Y","N","Y","N","JAPAN",95,403
"8",477,1993,"Gulf of Alaska Bottom Trawl Survey","GOA",90,199301,"ALSEA","RACE",1993-06-05,1993-08-05,784787,"Y","N","Y","N","UNITED STATES OF AMERICA",47,407
"9",478,1993,"Eastern Bering Sea Crab/Groundfish Bottom Trawl Survey","BS",89,199301,"ALDEBARAN","RACE",1993-06-06,1993-07-26,167,"Y","N","Y","N","UNITED STATES OF AMERICA",98,411
"10",479,1993,"Gulf of Alaska Bottom Trawl Survey","GOA",60,199301,"ARGOSY","RACE",1993-06-06,1993-08-23,784786,"Y","N","Y","N","UNITED STATES OF AMERICA",47,407
"11",481,1993,"Gulf of Alaska Bottom Trawl Survey","GOA",92,199301,"PROGRESS","RACE",1993-08-17,1993-09-07,784788,"Y","N","Y","N","UNITED STATES OF AMERICA",47,407
"12",482,1993,"Gear Catchability Research","GOA",21,199311,"MILLER FREEMAN","RACE",1993-09-20,1993-09-26,783045,"Y","N","Y","N","UNITED STATES OF AMERICA",21,406
"13",483,1993,"West Coast Slope Bottom Trawl Survey","WC",21,199312,"MILLER FREEMAN","RACE",1993-10-14,1993-11-08,419,"Y","N","Y","N","UNITED STATES OF AMERICA",55,408
"14",484,1994,"Bogoslof pollock acoustic-trawl survey","BS",21,199402,"MILLER FREEMAN","MACE",1994-02-28,1994-03-08,133,"Y","N","Y","N","UNITED STATES OF AMERICA",59,414
