"","COMMON_NAME","SCIENTIFIC_NAME","ID_RANK","WORMS"
"1",NA,"Chrysaora melanaster","species",287209
"2","Aleutian hermit","Pagurus aleuticus","species",366647
"3","sablefish","Anoplopoma fimbria","species",159463
"4","Kamchatka flounder","Atheresthes evermanni","species",279791
"5","Pribilof whelk","Neptunea pribiloffensis","species",491185
"6","sea peach unid.","Halocynthia sp.","genus",103519
"7","bigmouth sculpin","Hemitripterus bolini","species",254541
"8","Pacific halibut","Hippoglossus stenolepis","species",274290
"9","purple-orange sea star","Asterias amurensis","species",254497
"10","wattled eelpout","Lycodes palearis","species",254585
"11","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"12","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"13","giant scale worm","Eunoe nodosa","species",130745
"14","Pacific cod","Gadus macrocephalus","species",254538
"15","Oregon triton","Fusitriton oregonensis","species",476496
"16","sea raspberry","Gersemia sp.","genus",146953
"17","rex sole","Glyptocephalus zachirus","species",274287
"18","Pacific cod","Gadus macrocephalus","species",254538
"19","Aleutian moonsnail","Cryptonatica aleutica","species",576533
"20","thorny sculpin","Icelus spiniger","species",254525
"21",NA,"Leptasterias polaris","species",125154
"22",NA,"Argis sp.","genus",107006
"23","yellowfin sole","Limanda aspera","species",254562
"24","snow crab","Chionoecetes opilio","species",107315
"25","sinuous whelk","Buccinum plectrum","species",160127
"26",NA,"Neptunea borealis","species",254478
"27",NA,"Plicifusus kroyeri","species",491269
"28","Aleutian hermit","Pagurus aleuticus","species",366647
"29","northern rock sole","Lepidopsetta polyxystra","species",281307
"30","fuzzy hermit crab","Pagurus trigonocheirus","species",254490
"31","circumboreal toad crab","Hyas coarctatus","species",107323
"32","snail egg","Gastropoda egg","class",NA
"33","Tanner crab","Chionoecetes bairdi","species",368558
"34",NA,"Urticina sp.","genus",100706
"35","rex sole","Glyptocephalus zachirus","species",274287
"36","fat whelk","Neptunea ventricosa","species",156264
"37","Pacific halibut","Hippoglossus stenolepis","species",274290
