metadata_colname,metadata_colname_long,metadata_units,metadata_datatype,metadata_colname_desc
ABUNDANCE_HAUL,Design-based index approved haul,logical,NA,"Logical, describing if this haul was conducted in a standard manner and thus used for design-based index estimates (TRUE) or not (FALSE)."
ACTIVE,Vessel Active/Inactive,logical,NA,"Logical, describing if a vessel is active (TRUE) or not (FALSE)."
AGE,Age bin of taxon,year,"NUMBER(38,0)",Age bin of a taxon in years estimated by the age comp estimate.
AGENCY_ACRONYM,Acroynm of listed Agency,text abbreviated,VARCHAR2(255 BYTE),Abbreviated agencies that are affiliated with the Alaska bottom trawl survey. The column 'agency_acronym' is associated with the 'agency_short' and 'agency_long' columns.
AGENCY_JOIN,Agency's ID code,ID code,"NUMBER(38,0)",Affiliated agency ID code.
AGENCY_LONG,Agency's Offical Name,text,VARCHAR2(255 BYTE),Full official name of affiliated agencies to the Alaska bottom trawl survey. The column 'agency_long' is associated with the 'agency_acronym' and 'agency_short' columns.
AGENCY_SHORT,Agency's Shorthand Name,text,VARCHAR2(255 BYTE),A sort version of the full official name of affiliated agencies to the Alaska bottom trawl survey. The column 'agency_short' is associated with the 'agency_acronym' and 'agency_long' columns.
AREA_ID,Area ID code,ID code,"NUMBER(38,0)","Area ID code for each statistical area used to produce production estimates (e.g., biomass, population, age comps, length comps). Each area ID is unique within each survey."
AREA_KM2,Area (km<sup>2</sup>),kilometers squared,"NUMBER(38,3)",Area in thousands of square kilometers.
AREA_NAME,Area ID Name,text,VARCHAR2(4000 BYTE),"Descriptive name of each AREA_ID. These names often identify the region, depth ranges, or other regional information for the area ID."
AREA_SWEPT_KM2,Area Swept (km),kilometers,"NUMBER(38,6)","The area the net covered while the net was fishing (kilometers squared), defined as the distance fished times the net width."
AREA_TYPE,Area ID Type Description,category,VARCHAR2(255 BYTE),"The type of stratum that AREA_ID represents. Types include: STRATUM, REGION, DEPTH, SUBAREA, INPFC BY DEPTH, INPFC, SUBAREA BY DEPTH, REGULATORY AREA, NMFS STATISTICAL AREA."
BIOMASS_CI_LOWER,Estimated Biomass Lower Confidence Interval,numeric,"NUMBER(38,6)","The estimated biomass lower confidence interval caught in the survey for a species, group, or total for a given survey."
BIOMASS_CI_UPPER,Estimated Biomass Upper Confidence Interval,numeric,"NUMBER(38,6)","The estimated biomass upper confidence interval caught in the survey for a species, group, or total for a given survey."
BIOMASS_DF,Estimated Biomass Degrees of Freedom,numeric,"NUMBER(38,6)","The estimated biomass degrees of freedom caught in the survey for a species, group, or total for a given survey."
BIOMASS_MT,Estimated Biomass,numeric,"NUMBER(38,6)","The estimated biomass caught in the survey for a species, group, or total for a given survey."
BIOMASS_VAR,Estimated Biomass Variance,numeric,"NUMBER(38,6)","The estimated biomass variance caught in the survey for a species, group, or total for a given survey."
BOTTOM_TEMPERATURE_C,Bottom Temperature (Degrees Celsius),degrees Celsius,"NUMBER(38,1)",Bottom temperature (tenths of a degree Celsius); NA indicates removed or missing values.
BOTTOM_TYPE_CODE,Seafloor bottom type code,ID code,"NUMBER(38,0)","Bottom type on sea floor at haul location. For a complete list of bottom type ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
CLASS,Subphylum phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of class of a given species.
CLASSIFICATION,Taxonomic classification rank group,category,VARCHAR2(255 BYTE),"Phylogenetic classification group rank for a given species. "")"
COMMENTS,Comments,text,VARCHAR2(4000 BYTE),Comments regarding row observation.
COMMON_NAME,Taxon Common Name,text,VARCHAR2(255 BYTE),"The common name of the marine organism associated with the 'scientific_name' and 'species_code' columns. For a complete species list, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
COUNT,Taxon Count,"count, whole number resolution","NUMBER(38,0)","Total number of individuals caught in haul by taxon, represented in whole numbers used in calculation."
N_WEIGHT,Hauls with catch,numeric,"NUMBER(38,0)",Total number of hauls with positive catch/weighed taxon data used in calculation.
N_COUNT,Hauls with taxon counts,numeric,"NUMBER(38,0)",Total number of hauls with positive taxon counts used in calculation.
N_HAUL,Valid hauls,numeric,"NUMBER(38,0)",Total number of valid hauls used in calculation.
N_LENGTH,Hauls with taxon lengths,numeric,"NUMBER(38,0)",Total number of hauls with taxon length data used in calculation.
COUNTRY_ID,Vessel Name,text,VARCHAR2(255 BYTE),"Name of the vessel used to collect data for that haul. The column 'vessel_name' is associated with the 'vessel_id' column. Note that it is possible for a vessel to have a new name but the same vessel id number. For a complete list of vessel ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
CPUE_KGHA,Weight CPUE (kg/ha),kilograms per hectare,"NUMBER(38,6)",Catch weight (kilograms) divided by area (hectares) swept by the net.
CPUE_KGKM2,Weight CPUE (kg/km<sup>2</sup>),kilograms per kilometers squared,"NUMBER(38,6)",Catch weight (kilograms) divided by area (squared kilometers) swept by the net.
CPUE_KGKM2_MEAN,Mean Weight CPUE,kilograms per kilometers squared,"NUMBER(38,6)",The mean of catch weight (kilograms) divided by area (squared kilometers) swept by the net used in design-based indicie calculation.
CPUE_KGKM2_VAR,Variance of the Mean Weight CPUE,kilograms per kilometers squared,"NUMBER(38,6)",The variance of mean of catch weight (kilograms) divided by area (squared kilometers) swept by the net used in design-based indicie calculation.
CPUE_NOHA,Number CPUE (no/ha),count per hectare,"NUMBER(38,6)",Catch number (in number of organisms) per area (hectares) swept by the net.
CPUE_NOKM2,Number CPUE (no/km<sup>2</sup>),count per kilometers squared,"NUMBER(38,6)",Catch number (in number of organisms) per area (squared kilometers) swept by the net.
CPUE_NOKM2_MEAN,Mean Numberic CPUE,count per kilometers squared,"NUMBER(38,6)",The mean of catch count (number) divided by area (squared kilometers) swept by the net used in design-based indicie calculation.
CPUE_NOKM2_VAR,Variance of the Mean Numeric CPUE,count per kilometers squared,"NUMBER(38,6)",The variance of mMean of catch count (number) divided by area (squared kilometers) swept by the net used in design-based indicie calculation.
CRS,Coordinate Reference System,ID code,VARCHAR2(5 BYTE),"Coordinate reference system that areas (like AREA_KM2) are calculated in, as defined by https://spatialreference.org/ (e.g., ""+proj=longlat"", ""EPSG:3338"")."
CRUISE,Cruise ID,ID code,"NUMBER(38,0)","This is a six-digit number identifying the cruise number of the form: YYYY99 (where YYYY = year of the cruise; 99 = 2-digit number and is sequential; 01 denotes the first cruise that vessel made in this year, 02 is the second, etc.)."
CRUISEJOIN,Cruise ID,ID code,"NUMBER(38,0)","This is a unique numeric identifier assigned to each survey, vessel, and year combination."
DATABASE,Genus phylogenetic rank,category,VARCHAR2(255 BYTE),"Taxonomic database source (e.g., ""ITIS"", ""WORMS"")."
DATABASE_ID,Subfamily phylogenetic rank,ID code,VARCHAR2(255 BYTE),"Species ID code of a species in the taxonomic ""DATABASE"" source."
DATE_TIME,Date and Time of Haul,MM/DD/YYYY HH::MM,DATE,The date (MM/DD/YYYY) and time (HH:MM) of the beginning of the haul.
DEPTH_M,Depth (m),degrees Celsius,"NUMBER(38,1)",Bottom depth (tenths of a meter).
DEPTH_MAX_M,Area ID Maximum Depth (m),meters,"NUMBER(38,3)",Maximum depth (meters) of the area covered by AREA_ID.
DEPTH_MIN_M,Area ID Minimum Depth (m),meters,"NUMBER(38,3)",Minimum depth (meters) of the area covered by AREA_ID.
DESCRIPTION,Description,text,VARCHAR2(4000 BYTE),Description of row observation.
DESIGN_YEAR,Design year,year,"NUMBER(10,0)","The year the survey area stratum (e.g., statistical stratum, summary area, region) was implimented in."
DISTANCE_FISHED_KM,Distance Fished (km),degrees Celsius,"NUMBER(38,3)",Distance the net fished (thousandths of kilometers).
DUMMY,dummy,dummy,VARCHAR2(255 BYTE),dummy
DURATION_HR,Tow Duration (decimal hr),hours,"NUMBER(38,1)",This is the elapsed time between start and end of a haul (decimal hours).
FAMILY,Suborder phylogenetic rank,category,VARCHAR2(255 BYTE),Phylogenetic latin rank of family of a given species.
GEAR_DEPTH_M,Gear depth,meters,"NUMBER(38,1)",Depth gear was deployed at (tenths of a meter). Gear depth plus net height equals bottom depth.
GEAR_ID,Gear ID code,ID code,"NUMBER(38,0)","Type of trawl or gear deployed. For a complete list of vessel gear type ID codes, review the [code books](https://www.fisheries.noaa.gov/resource/document/groundfish-survey-species-code-manual-and-data-codes-manual)."
